subject,academic_year,standard_number,standard_version,weight_excellence,effective_credits
Statistics,2019,91581,1,0.9375,4
Statistics,2019,91585,1,0.934956304619226,4
Dance,2019,91589,1,1.0,4
Dance,2019,91592,1,1.0,6
Dance,2019,91595,1,0.942028985507247,4
Dance,2019,91594,1,0.937923250564334,4
Dance,2019,91591,1,0.852941176470588,4
Dance,2019,91593,1,0.847560975609756,2
Social Studies,2019,91598,1,0.973551637279597,4
Social Studies,2019,91597,1,0.970588235294118,6
Social Studies,2019,91599,1,0.954545454545455,6
Social Studies,2019,91600,1,0.9375,4
Social Studies,2019,91596,1,0.907012195121951,4
Biology,2019,91606,1,0.949314730213607,4
Biology,2019,91603,1,0.946774831816383,5
Biology,2019,91605,1,0.945374633737966,4
Biology,2019,91601,1,0.857142857142857,4
Biology,2019,91601,2,0.847115997450606,4
Biology,2019,91607,2,0.829437490574574,3
Technology/Hangarau,2019,91608,1,1.0,4
Technology/Hangarau,2019,91608,2,1.0,4
Technology/Hangarau,2019,91609,1,1.0,4
Technology/Hangarau,2019,91618,1,1.0,6
Technology/Hangarau,2019,91617,1,0.975633528265107,4
Technology/Hangarau,2019,91612,1,0.952669902912621,2
Construction and Mechanical Technologies,2019,91621,1,1.0,6
Construction and Mechanical Technologies,2019,91624,1,0.918918918918919,3
Construction and Mechanical Technologies,2019,91625,1,0.896551724137931,3
Construction and Mechanical Technologies,2019,91620,1,0.894757744241462,6
Construction and Mechanical Technologies,2019,91622,1,0.856505102040816,4
Construction and Mechanical Technologies,2019,91623,1,0.82991452991453,2
Design and Visual Communication,2019,91627,1,0.965795328142381,4
Design and Visual Communication,2019,91631,1,0.911716171617162,6
Design and Visual Communication,2019,91630,2,0.889140271493213,6
Design and Visual Communication,2019,91629,1,0.86529933481153,6
Design and Visual Communication,2019,91628,1,0.85,2
Digital Technologies,2019,91641,1,1.0,4
Digital Technologies,2019,91636,1,0.93956043956044,4
Digital Technologies,2019,91641,2,0.9375,4
Digital Technologies,2019,91634,1,0.928571428571429,4
Digital Technologies,2019,91632,1,0.909961685823755,4
Digital Technologies,2019,91634,3,0.899038461538462,4
Processing Technologies,2019,91643,1,0.862219451371571,6
Processing Technologies,2019,91644,1,0.795774647887324,4
Te Reo Māori,2019,91652,1,0.968715697036224,6
Te Reo Māori,2019,91653,1,0.929088277858177,6
Te Reo Māori,2019,91654,1,0.928571428571429,6
Te Reo Māori,2019,91650,1,0.884615384615385,4
Te Reo Māori,2019,91651,2,0.837384259259259,2
Tongan,2019,91682,1,0.847826086956522,5
Tongan,2019,91680,1,0.816666666666667,3
Tongan,2019,91683,1,0.784883720930233,5
Tongan,2019,91681,1,0.75,6
Tongan,2019,91679,1,0.747747747747748,5
Te Reo Rangatira,2019,91808,1,0.936305732484077,3
Te Reo Rangatira,2019,91806,1,0.923076923076923,4
Te Reo Rangatira,2019,91804,1,0.915540540540541,3
Te Reo Rangatira,2019,91805,1,0.911392405063291,4
Te Reo Rangatira,2019,91803,1,0.861111111111111,3
Te Reo Rangatira,2019,91809,1,0.857615894039735,6
Te Reo Rangatira,2019,91817,1,0.850574712643678,1
Hauora,2019,91814,1,0.954545454545455,3
Hauora,2019,91813,1,0.944444444444444,3
Science/Pūtaiao,2019,91819,1,0.875,4
New Zealand Sign Language,2019,91823,1,0.875,3
New Zealand Sign Language,2019,91822,1,0.8125,5
New Zealand Sign Language,2019,91824,1,0.8125,6
New Zealand Sign Language,2019,91825,1,0.78125,6
Tikanga ā-Iwi,2019,91831,1,1.0,4
Tikanga ā-Iwi,2019,91833,1,0.961538461538462,4
Tikanga ā-Iwi,2019,91834,1,0.916666666666667,4
Tikanga ā-Iwi,2019,91832,1,0.90625,4
Tikanga ā-Iwi,2019,91826,1,0.865384615384615,4
Tikanga ā-Iwi,2019,91827,1,0.863636363636364,4
Ngā Mahi a te Rēhia,2019,91852,1,1.0,4
Ngā Toi Puoro,2019,91863,1,1.0,4
Psychology,2019,91876,1,0.944987775061125,3
Psychology,2019,91872,1,0.845708775313404,6
Psychology,2019,91874,1,0.842449464922711,6
Psychology,2019,91875,1,0.834370139968896,4
Psychology,2019,91873,1,0.821428571428571,3
Digital Technologies and Hangarau Matihiko,2019,91909,1,0.932150313152401,3
Digital Technologies and Hangarau Matihiko,2019,91908,1,0.93,3
Digital Technologies and Hangarau Matihiko,2019,91900,1,0.895095367847411,6
Digital Technologies and Hangarau Matihiko,2019,91905,1,0.894366197183099,4
Digital Technologies and Hangarau Matihiko,2019,91903,1,0.874843554443054,4
Digital Technologies and Hangarau Matihiko,2019,91901,1,0.869436201780415,3
Digital Technologies and Hangarau Matihiko,2019,91907,1,0.85638998682477,1
Religious Studies,2020,90826,1,1.0,6
Religious Studies,2020,91725,1,0.828857532999545,6
Religious Studies,2020,90825,2,0.8221076377699,6
Religious Studies,2020,90827,1,0.820497803806735,6
Education for Sustainability,2020,90828,1,1.0,6
Education for Sustainability,2020,91735,1,1.0,4
Education for Sustainability,2020,90831,1,0.913793103448276,5
Education for Sustainability,2020,90828,2,0.891246684350133,6
Education for Sustainability,2020,90832,1,0.871794871794872,3
Business Studies,2020,91381,1,0.973958333333333,4
Business Studies,2020,91379,1,0.954235361000569,4
Business Studies,2020,91380,1,0.947593582887701,4
Business Studies,2020,91385,2,0.890939597315436,3
Business Studies,2020,91870,1,0.881024096385542,4
Business Studies,2020,91383,2,0.872416250890948,3
Business Studies,2020,91871,1,0.865837696335079,2
Chemistry,2020,91389,1,1.0,3
Chemistry,2020,91390,1,0.94879786286732,5
Chemistry,2020,91392,1,0.922555043522785,5
