subject,academic_year,standard_number,standard_version,weight_excellence_raw,weight_excellence_sanitized,penalized_one,effective_credits
Construction and Mechanical Technologies,2018,91620,1,0.90067214339059,0.90067214339059,False,6
Construction and Mechanical Technologies,2018,91621,1,0.9,0.9,False,6
Construction and Mechanical Technologies,2018,91622,2,0.859738372093023,0.859738372093023,False,4
Construction and Mechanical Technologies,2018,91623,2,0.839837398373984,0.839837398373984,False,2
Design and Visual Communication,2018,91627,1,0.963722397476341,0.963722397476341,False,4
Design and Visual Communication,2018,91629,1,0.956521739130435,0.956521739130435,False,6
Design and Visual Communication,2018,91631,1,0.919444444444445,0.919444444444445,False,6
Design and Visual Communication,2018,91630,2,0.885942760942761,0.885942760942761,False,6
Design and Visual Communication,2018,91629,2,0.865628299894403,0.865628299894403,False,2
Digital Technologies,2018,91636,1,0.957861635220126,0.957861635220126,False,4
Digital Technologies,2018,91632,1,0.934579439252337,0.934579439252337,False,4
Digital Technologies,2018,91637,1,0.916666666666667,0.916666666666667,False,6
Digital Technologies,2018,91634,2,0.898362892223738,0.898362892223738,False,4
Digital Technologies,2018,91640,1,0.888888888888889,0.888888888888889,False,4
Digital Technologies,2018,91639,1,0.888888888888889,0.888888888888889,False,2
Processing Technologies,2018,91643,1,0.873441396508728,0.873441396508728,False,6
Processing Technologies,2018,91644,1,0.769736842105263,0.769736842105263,False,4
Te Reo Māori,2018,91652,1,0.943840579710145,0.943840579710145,False,6
Te Reo Māori,2018,91653,1,0.91839762611276,0.91839762611276,False,6
Te Reo Māori,2018,91654,2,0.86734693877551,0.86734693877551,False,6
Te Reo Māori,2018,91650,2,0.862936344969199,0.862936344969199,False,4
Te Reo Māori,2018,91651,2,0.860597439544808,0.860597439544808,False,2
Tongan,2018,91679,1,0.846491228070175,0.846491228070175,False,5
Tongan,2018,91681,1,0.8125,0.8125,False,6
Tongan,2018,91680,1,0.803738317757009,0.803738317757009,False,3
Tongan,2018,91683,1,0.794392523364486,0.794392523364486,False,5
Tongan,2018,91682,1,0.768,0.768,False,5
Te Reo Rangatira,2018,91808,1,0.954954954954955,0.954954954954955,False,3
Te Reo Rangatira,2018,91804,1,0.954268292682927,0.954268292682927,False,3
Te Reo Rangatira,2018,91806,1,0.946078431372549,0.946078431372549,False,4
Te Reo Rangatira,2018,91810,1,0.881516587677725,0.881516587677725,False,4
Te Reo Rangatira,2018,91817,1,0.847560975609756,0.847560975609756,False,4
Te Reo Rangatira,2018,91805,1,0.836448598130841,0.836448598130841,False,4
Science/Pūtaiao,2018,91818,1,1.0,0.5,True,4
Science/Pūtaiao,2018,91819,1,1.0,0.5,True,4
Science/Pūtaiao,2018,91820,1,1.0,0.5,True,4
New Zealand Sign Language,2018,91824,1,0.833333333333333,0.833333333333333,False,6
New Zealand Sign Language,2018,91823,1,0.666666666666667,0.666666666666667,False,3
New Zealand Sign Language,2018,91822,1,0.5,0.5,False,5
New Zealand Sign Language,2018,91825,1,0.5,0.5,False,6
Tikanga ā-Iwi,2018,91833,1,0.882352941176471,0.882352941176471,False,4
Tikanga ā-Iwi,2018,91826,1,0.8125,0.8125,False,4
Tikanga ā-Iwi,2018,91830,1,0.78125,0.78125,False,4
Tikanga ā-Iwi,2018,91834,1,0.6,0.6,False,4
Tikanga ā-Iwi,2018,91827,1,0.5,0.5,False,4
Tikanga ā-Iwi,2018,91828,1,1.0,0.5,True,4
Ngā Mahi a te Rēhia,2018,91852,1,0.897727272727273,0.897727272727273,False,4
Ngā Toi Puoro,2018,91863,1,0.714285714285714,0.714285714285714,False,4
Psychology,2018,91876,1,0.938202247191011,0.938202247191011,False,3
Psychology,2018,91872,1,0.832822085889571,0.832822085889571,False,6
Psychology,2018,91874,1,0.823717948717949,0.823717948717949,False,6
Psychology,2018,91875,1,0.809471365638767,0.809471365638767,False,4
Psychology,2018,91873,1,0.807977736549165,0.807977736549165,False,3
Digital Technologies and Hangarau Matihiko,2018,91907,1,0.825,0.825,False,6
Digital Technologies and Hangarau Matihiko,2018,91906,1,0.777777777777778,0.777777777777778,False,6
Digital Technologies and Hangarau Matihiko,2018,91900,1,0.75,0.75,False,6
Samoan,2019,91566,1,0.9375,0.9375,False,5
Samoan,2019,91563,1,0.924180327868853,0.924180327868853,False,5
Samoan,2019,91567,1,0.832179930795848,0.832179930795848,False,5
Samoan,2019,91564,1,0.820422535211268,0.820422535211268,False,3
Samoan,2019,91565,1,0.806506849315069,0.806506849315069,False,6
Religious Studies,2019,91725,1,0.844105691056911,0.844105691056911,False,6
Religious Studies,2019,90825,2,0.8234652539732,0.8234652539732,False,6
Religious Studies,2019,90826,2,0.809748083242059,0.809748083242059,False,6
Religious Studies,2019,90827,2,0.809717166059927,0.809717166059927,False,6
