standard,title,credits,assessment_type,subject
91500,Evaluate the effectiveness of a performance improvement programme,4,Internal,Physical Education
91501,Demonstrate quality performance of a physical activity in an applied setting,4,Internal,Physical Education
91502,"Examine a current physical activity event, trend, or issue and its impact on New Zealand society",4,Internal,Physical Education
91503,Evaluate the use of health promotion to influence participation in physical activity,5,Internal,Physical Education
91504,Analyse issues in safety management for outdoor activity to devise safety management strategies,3,Internal,Physical Education
91505,Examine contemporary leadership principles applied in physical activity contexts,4,Internal,Physical Education
91506,Translate authentic Latin text into English demonstrating understanding,6,External,Latin
91507,Analyse authentic Latin text demonstrating understanding,5,External,Latin
91508,Analyse studied Latin literary text(s),6,Internal,Latin
91509,Analyse a Roman viewpoint,4,Internal,Latin
91510,Analyse the influence of Latin text(s) on subsequent culture(s),3,Internal,Latin
91511,Write complex Latin sentences that demonstrate understanding of Latin,3,Internal,Latin
91512,Interpret scripted text to integrate drama techniques in performance,4,Internal,Drama
91513,Devise and perform a drama to realise a concept,5,Internal,Drama
91514,Interpret a text from a prescribed playwright to demonstrate knowledge of a theatre form or period,4,External,Drama
91515,Select and use complex performance skills associated with a drama form or period,4,Internal,Drama
91516,Demonstrate understanding of the work of a drama or theatre theorist or practitioner,4,Internal,Drama
91517,Perform a substantial acting role in a significant production,5,Internal,Drama
91518,Demonstrate understanding of live drama performance,4,External,Drama
91519,Script a drama suitable for live performance,5,Internal,Drama
91520,Direct a drama performance,5,Internal,Drama
91521,Carry out a practical investigation to test a physics theory relating two variables in a non-linear relationship,4,Internal,Physics
91522,Demonstrate understanding of the application of physics to a selected context,3,Internal,Physics
91523,Demonstrate understanding of wave systems,4,External,Physics
91524,Demonstrate understanding of mechanical systems,6,External,Physics
91525,Demonstrate understanding of Modern Physics,3,Internal,Physics
91526,Demonstrate understanding of electrical systems,6,External,Physics
91527,Use physics knowledge to develop an informed response to a socio-scientific issue,3,Internal,Physics
91528,Carry out an investigation into an aspect of a New Zealand primary product or its production,4,Internal,Agricultural & Horticultural Science
91529,Research and report on the impact of factors on the profitability of a New Zealand primary product,6,Internal,Agricultural & Horticultural Science
91530,Demonstrate understanding of how market forces affect supply of and demand for New Zealand primary products,5,External,Agricultural & Horticultural Science
91531,Demonstrate understanding of how the production process meets market requirements for a New Zealand primary product(s),4,External,Agricultural & Horticultural Science
91532,Analyse a New Zealand primary production environmental issue,5,External,Agricultural & Horticultural Science
