"List of all adjusted percentile weightings by result (Not achieved, Achieved, Merit and Excellence) for Unit and Achievement standards by Academic Year (2025)",,,,,,
Academic Year,Standard Number,Standard Version ,Adjusted Not Achieved Percentile,Adjusted  Achieved Percentile,Adjusted Merit Percentile,Adjusted Excellence Percentile
2025,16143,9,0.005025944628949286,0.5050259446289493,1,1
2025,16167,7,0,0.5,1,1
2025,16337,5,0,0.5,1,1
2025,16337,6,0,0.5,1,1
2025,16340,5,0,0.5,1,1
2025,16340,6,0.010752688172043,0.510752688172043,1,1
2025,16407,7,0,0.5,1,1
2025,16407,8,0,0.5,1,1
2025,16560,5,0,0.5,1,1
2025,16617,6,0,0.5,1,1
2025,16673,5,0,0.5,1,1
2025,16673,6,0,0.5,1,1
2025,16674,5,0,0.5,1,1
2025,16701,4,0,0.5,1,1
2025,16701,5,0,0.5,1,1
2025,16701,6,0,0.5,1,1
2025,16702,4,0,0.5,1,1
2025,16702,5,0,0.5,1,1
2025,16702,6,0,0.5,1,1
2025,16703,4,0,0.5,1,1
2025,16703,5,0,0.5,1,1
2025,16703,6,0,0.5,1,1
2025,16712,3,0,0.5,1,1
2025,16712,4,0,0.5,1,1
2025,16718,6,0,0.5,1,1
2025,16718,7,0,0.5,1,1
2025,16800,4,0,0.5,1,1
2025,16800,5,0,0.5,1,1
2025,16802,4,0,0.5,1,1
2025,16802,5,0,0.5,1,1
2025,16850,7,0,0.5,1,1
2025,16856,7,0,0.5,1,1
2025,16857,7,0,0.5,1,1
2025,16870,5,0,0.5,1,1
2025,16871,3,0,0.5,1,1
2025,16871,4,0,0.5,1,1
2025,17025,5,0,0.5,1,1
2025,17164,6,0.1053485829290972,0.3467186753273046,0.6138508579143312,0.8724807655161237
2025,17167,5,0.1390227047577668,0.4031899583072856,0.6240189616051844,0.8598517080556657
2025,17170,5,0.1085251938242984,0.332224423514718,0.574257115510717,0.8505578858202973
2025,17204,3,0,0.5,1,1
2025,17236,4,0,0.5,1,1
2025,17253,5,0,0.5,1,1
2025,17253,6,0,0.5,1,1
2025,17255,5,0.08282250809731889,0.5828225080973188,1,1
2025,17261,6,0,0.5,1,1
2025,17284,6,0,0.5,1,1
2025,17284,7,0.01951398672635613,0.5195139867263561,1,1
2025,17288,8,0.02786281327059847,0.5278628132705985,1,1
2025,17385,7,0,0.5,1,1
2025,17391,8,0.02325581395348836,0.5232558139534884,1,1
2025,17391,9,0,0.5,1,1
2025,17459,8,8.699413082255414E-4,0.5008699413082256,1,1
2025,17459,9,0.008682441308225541,0.5086824413082256,1,1
2025,17574,6,0,0.5,1,1
2025,17578,9,0,0.5,1,1
2025,17586,6,0,0.4994757061730429,0.9993024812120399,0.9998267750389971
2025,17586,7,0.004927150893428989,0.5044028570664718,0.9993024812120399,0.9998267750389971
2025,17588,5,0,0.5,1,1
2025,17588,6,0,0.5,1,1
2025,17590,6,0,0.5,1,1
